DATE,CPIEHOUSE_PCA
1984-01-01,4.16531
1985-01-01,3.98306
1986-01-01,2.75976
1987-01-01,3.19196
1988-01-01,4.04608
1989-01-01,4.26463
1990-01-01,5.17174
1991-01-01,4.18822
1992-01-01,3.00293
1993-01-01,2.77020
1994-01-01,2.65032
1995-01-01,2.73053
1996-01-01,3.11345
1997-01-01,2.72841
1998-01-01,2.22593
1999-01-01,2.27644
2000-01-01,3.57575
2001-01-01,3.95216
2002-01-01,2.18407
2003-01-01,2.60357
2004-01-01,2.98757
2005-01-01,3.52520
2006-01-01,3.66246
2007-01-01,3.28276
2008-01-01,3.31563
2009-01-01,0.00302
2010-01-01,-0.49082
2011-01-01,1.35119
2012-01-01,1.60529
2013-01-01,2.03932
2014-01-01,2.60084
2015-01-01,2.07490
2016-01-01,2.51203
2017-01-01,2.97779
2018-01-01,2.88995
2019-01-01,2.85807
2020-01-01,2.16147
2021-01-01,3.33698
2022-01-01,7.05519
2023-01-01,6.58506
