DATE,CPIHOSSL_PCA
1968-01-01,4.00541
1969-01-01,6.19308
1970-01-01,6.93457
1971-01-01,4.44546
1972-01-01,3.88328
1973-01-01,4.35058
1974-01-01,11.23254
1975-01-01,10.55313
1976-01-01,6.13891
1977-01-01,6.82276
1978-01-01,8.75308
1979-01-01,12.19968
1980-01-01,15.69117
1981-01-01,11.50643
1982-01-01,7.21136
1983-01-01,2.66644
1984-01-01,4.16387
1985-01-01,3.95721
1986-01-01,2.95551
1987-01-01,3.04351
1988-01-01,3.70478
1989-01-01,3.79747
1990-01-01,4.51220
1991-01-01,3.92843
1992-01-01,2.91292
1993-01-01,2.71532
1994-01-01,2.51372
1995-01-01,2.53267
1996-01-01,2.93044
1997-01-01,2.61794
1998-01-01,2.28541
1999-01-01,2.19797
2000-01-01,3.46248
2001-01-01,3.99528
2002-01-01,2.21624
2003-01-01,2.51953
2004-01-01,2.56584
2005-01-01,3.25786
2006-01-01,3.80227
2007-01-01,3.16219
2008-01-01,3.18371
2009-01-01,0.37121
2010-01-01,-0.37056
2011-01-01,1.31824
2012-01-01,1.64743
2013-01-01,2.08156
2014-01-01,2.57973
2015-01-01,2.07777
2016-01-01,2.48452
2017-01-01,2.97411
2018-01-01,2.88390
2019-01-01,2.88963
2020-01-01,2.19287
2021-01-01,3.29072
2022-01-01,7.15352
2023-01-01,6.43820
