,Virginia,California,Florida,New Jersey,Michigan,Washington,Colorado,Arizona,New York,North Carolina,New Hampshire,Utah,Pennsylvania,Texas,Connecticut,Kansas,Georgia,South Dakota,Alaska,Wyoming,West Virginia,New Mexico,Tennessee,Arkansas,Maryland,Hawaii,Alabama,Maine,Delaware,Indiana,Montana,Idaho,Nevada,Mississippi,Kentucky,Minnesota,Vermont,Massachusetts,the District of Columbia,Illinois,Nebraska,Oklahoma,Rhode Island,Oregon,Iowa,Ohio,North Dakota,Missouri,Wisconsin,South Carolina,Louisiana
2000-01-01,120962.0930575661,184934.3163573609,105562.86454284335,166319.99862283483,112096.0136620357,170283.75355600016,170950.32485903386,131991.48764203736,151332.7760126514,124638.30423457328,129175.37516629731,164742.10367748,96293.94538395168,108651.91549342252,157887.34812080808,85713.28560308203,120292.6806299372,103984.29833215634,131249.50546963283,,71144.36470325856,,106806.13014535111,84043.49238099958,148547.34439387257,193767.1250814589,95533.12689334048,103919.39492534261,143751.9849959049,95657.92750083096,,118118.29995510225,151188.24481019532,84451.30728027159,82219.80448680454,120620.91397376264,110380.08795815027,189329.24455919382,158872.25863725258,123437.66787989662,111346.00244957203,79148.76841210153,128316.5464959789,147849.63589855356,87632.46935052508,101966.8496566364,,93938.82419375847,114303.2350338894,109518.835826163,100786.62978219142
2000-02-01,121275.09845617315,185555.93579405232,105791.52353396521,166768.33897679253,112157.75347015602,170667.85227296263,171557.3218150279,132230.56302968282,151871.66935100165,124827.92530299976,129614.20415067245,164832.3631145223,96499.91084063036,108710.95975088188,158488.85786453533,85730.11128296066,120565.8445058378,103763.36605145028,131398.57717966213,,71141.31934250318,,106895.22874908408,84155.81250242626,148526.74124665576,193677.47651414163,95699.48445189506,104265.13665840217,143975.63009348634,95526.40005810857,,118046.6948271795,151207.14380766248,84404.99152557617,82262.25416821896,121026.9284040017,110564.9165496364,189961.35192625498,159391.89544066828,123536.59168661552,111523.99363692419,79181.4174799324,128900.11917015552,148174.77295772784,87799.9308851228,102029.16065143658,,94048.92773355357,114270.06080077698,109760.60930099126,100981.03808622545
2000-03-01,121606.95765378648,186395.27425049187,106068.70381025034,167196.13465973784,112383.78715924888,171059.66716128864,172228.11624762582,132538.25744488116,152390.44109401826,125023.23119614675,130138.06020344053,164974.07022313017,96693.46304386493,108739.59714075731,159116.93401678055,85829.23869681238,120881.02999875828,103454.18767151544,131547.57092570487,,71164.31539325797,,106986.09956015363,84283.24913927451,148631.9916922206,193974.86996681962,95810.94725275731,104573.83987457519,144254.08837060397,95378.67362791086,,118092.06302824704,151441.14230547912,84402.97660606007,82339.48962625679,121404.67795419264,110855.18343601393,190713.45994644146,160129.2064811552,123750.41993338044,111688.95873183008,79333.60524519405,129512.96647278311,148471.80846492868,87958.02159336703,102123.65857815657,,94213.77060518495,114397.9352212054,109957.61799290388,101132.1096786313
2000-04-01,122234.0611668378,188217.22777337045,106632.14001974666,168143.92965538197,112834.0453789805,171850.44977357038,173727.9884837001,133166.5517072793,153506.1780864706,125446.88417515007,130924.44075496374,165329.61581185434,97087.89302350697,108881.7270461658,160181.01870818916,85977.42728137701,121544.6338102855,103037.44837515877,131722.30576549345,,71222.51976119315,,107204.72755229742,84555.34695233563,148885.96413137479,194490.7497212783,96060.6573008666,105253.9308342262,144890.91614184072,94929.60124756226,,118186.25757844147,151977.39132814272,84463.86153363202,82531.42680501292,122291.39866566977,111425.54074957053,192194.79560497752,161710.15306918832,124253.44806271461,111945.03461588362,79610.73118707885,130723.85273864632,149095.11781456057,88299.49319774516,102401.53429153371,,94590.56441083642,114581.5751132098,110409.2315056112,101472.69209407181
2000-05-01,122839.4609183522,190334.9742826484,107239.74525500042,169110.13213221912,113498.04484455346,172713.5392736066,175402.10593460267,133878.73213992803,154660.56703299016,125918.8571352429,131785.17935229596,166618.13045902454,97493.07137315958,108973.77260180844,161055.414226743,86200.80830493713,122276.56238255843,102864.07265021272,131985.35537604988,,71336.07355516778,,107456.92227733135,84823.7198372803,149417.43600211793,195501.31450211606,96339.16828474395,105894.58004540873,145617.24655923716,94712.61920704291,,118493.409031739,152660.71592527648,84760.13871174166,82786.51664164901,123264.14948916482,112082.363878466,193798.26850295346,163464.71121918494,124850.30666239152,112074.8931253741,79982.954423718,131930.44637185463,149650.97715139185,88676.76659359643,102825.22565450246,,95077.27280271694,114947.95121062182,110830.88311532483,101833.5357022761
2000-06-01,123424.08145633897,192620.01661424641,107859.69835784052,170263.28500916538,114227.31586910301,173537.47180386414,177209.8860985239,134517.84317586443,155908.78072780112,126420.92066094447,132694.46580662834,168038.6421180946,97909.48510188756,109076.9780772655,161921.4822771875,86452.77663814255,123052.16031057487,102745.27395709867,132182.00077749483,,71524.71231275862,,107707.21433757733,85081.37921489937,150060.01628359687,196642.59042739388,96675.89922368107,106613.80227180563,146418.5751731745,94776.71111990565,,118868.79997996594,153274.17275870778,85184.02916677172,83066.9356413932,124388.83373265357,112695.64667730527,195535.6017054445,165349.34542854616,125521.09958333882,112151.73981654475,80335.83003141546,132849.77925299425,150166.9276069154,89057.56646951102,103350.93841570965,,95615.11636252841,115377.9580491369,111295.33984460785,102226.61092797836
2000-07-01,124133.74873969506,195033.18452882336,108482.59958993079,171568.1838081056,115078.10783514753,174432.58918501344,179041.632830092,135167.75633554542,157030.92040818403,126911.19346333422,133956.36571586877,169462.67664323488,98351.69079925817,109144.80004291075,162889.4438959818,86780.53158285997,123835.88126864051,102662.429174221,132592.337107927,,71772.60294540931,,107977.95722304501,85330.42500523158,150820.5218188598,197783.91512122352,96987.69921857926,107387.22637915483,147233.89380708316,95242.46452277829,,119240.03037285844,153749.6321515847,85575.50385683485,83383.10053970003,125625.9578789571,113306.53857330458,197591.5128034481,167138.5660327661,126248.66740722884,112240.74615024617,80701.23480453558,133689.98675270428,150596.51712225264,89444.28335692728,103870.63416603433,,96199.85253978086,115947.40673996827,111746.05159548217,102610.887369335
2000-08-01,124970.61489479383,197552.65926037266,109116.99255579257,173153.82138945803,115936.91695871456,175259.68158967895,181030.0770361238,135792.05121856186,158013.16305265322,127373.5277681352,135434.70437694542,170049.23642069608,98773.82401806409,109345.444067501,164060.4764257322,87136.4442102304,124664.3236459176,102510.21219161751,132785.3338974343,,72096.86238925713,,108257.39417501143,85613.75262678904,151526.2715773752,199104.55287093227,97269.47295161732,108191.84242251872,148027.26180155433,95717.19682043705,,119614.96062553558,154207.712391219,85948.35466639152,83744.7841919969,127320.28490992116,113938.1202615981,200121.52612819977,168677.61158534416,127284.27312701153,112453.75603987304,81041.39052099048,134531.90037918027,151055.35945267952,89774.98295363491,104375.74337968866,,96830.38352275985,116576.77992762825,112242.21333752915,102914.73327388172
2000-09-01,125885.1602563933,200077.98075378643,109774.54537646018,174907.21412560213,116757.76222517417,176012.53521064637,183117.47332693567,136482.51728146666,158885.97996893094,127824.78521917824,137022.93103699957,170562.10199627536,99203.93820692383,109608.55907827138,165293.4632939213,87469.82661534013,125511.03848647967,102722.27238117527,132961.390244526,,72387.213621374,,108591.25484072576,85934.20949908278,152247.5612174089,200409.95380902357,97571.72611284495,109029.17317249335,148759.61606967074,96088.16330963012,,119928.8302355017,154759.0291168531,86280.49669156712,84146.2214846846,129071.87279171454,114636.354847636,202964.46601622287,169833.66902584632,128502.16373334866,112713.94843262788,81350.59805210245,135569.23609675872,151441.18664225432,90119.94003778475,104872.04726579599,,97465.24414488173,117207.23391706076,112754.4329665521,103260.78306044261
2000-10-01,126750.46860819991,202472.8048841258,110445.8041916708,176680.21617394872,117524.39785823222,176668.09296692346,185190.778691952,137147.79434875463,159821.52487417668,128301.86354166978,138850.31630049137,170995.29939031228,99616.43350946704,109890.49187001503,166642.773964996,87810.66729796352,126391.0582666293,102959.95704181127,132904.94572821053,,72722.09378858477,,108914.59231238184,86256.14191013495,153008.73342503383,201776.49670617748,97918.54712403759,109820.80588746502,149413.60947771475,96542.32179070909,,120231.90158309089,155378.85069288526,86741.32809065345,84521.25374179998,130864.4656239313,115476.61605751277,205967.61310730557,170128.20130065118,129907.83145702985,112987.1576341072,81626.93563613661,136608.98694319694,151828.74827879152,90545.09051356472,105351.48442825973,,98140.1370395309,117824.54059925012,113258.60547301003,103670.57775794
2000-11-01,127625.08598208182,204831.25256726728,111143.35293548148,178261.93253422156,118317.43291355099,177331.37119158544,187185.98075524674,137788.4661691443,160967.63170590939,128839.07542791864,140603.9870497384,171532.32644234237,100071.4963205055,110215.82510426565,168005.72854084105,88180.40037365303,127263.05577979547,102998.7662029555,133041.9502743937,,73159.92437940992,,109268.53816373758,86675.89902172748,153796.6145912187,202664.18114371516,98311.13833944056,110772.24922422333,150217.196547884,97087.97035876817,,120473.36650799902,156096.63620315006,87230.59970478098,84918.02168881796,132356.1946842794,116330.86316973955,208869.15501339213,170418.75317091693,130980.61825064721,113301.58551607706,81945.2866054682,137605.25278890564,152219.4662771262,90971.84565840183,105819.43752968127,,98872.77234170656,118398.21667398671,113760.84261049148,104211.1453047167
2000-12-01,128519.41180776316,207139.4539861216,111862.81494303874,179667.87739088488,119142.23073094926,178118.67900990715,189092.2727765326,138410.80634773587,162225.69489485747,129409.16870744103,142381.1418034703,172047.1166972072,100542.19253519212,110577.19225183927,169235.03477424243,88600.85231447307,128185.9701698842,102900.51731712055,133373.93038728478,,73729.88998208243,,109667.53303657875,87150.8067024105,154654.58112045296,203441.63684854112,98745.84490948329,111814.30501229297,150968.29904258592,97730.38326907183,,120708.29454787543,156791.11736493188,87854.13250299312,85331.12260534124,133917.6733695035,117185.22427850851,211737.2498881082,170771.0819213808,131832.17402564338,113624.6838420945,82325.4563675211,138672.6914068499,152661.31258708367,91445.3993997618,106265.42645821662,,99564.49012358102,118961.0717490056,114189.68821597933,104799.70185540612
2001-01-01,129419.99672877045,209092.07879186826,112520.67079444374,180983.78572844146,119921.6103261957,178942.37853760947,191004.16482782728,139016.8810254632,163432.36429571602,129997.93027982472,143998.97849574639,172526.370887648,101006.80085034326,110792.94484161101,170312.13235789348,89123.8485658111,129081.87393078556,102959.53092729078,135721.05483956914,,74423.38129791644,,110123.34003315063,87712.31742223602,155362.69133312252,204092.6995152034,99231.4297147472,113096.79364062694,151801.0078794337,98193.75357319356,,121089.13287661238,157503.11764696488,88421.67198914067,85811.66746869298,135325.57015413963,117943.87129888497,214328.88634312034,171555.09649804878,132443.43226180156,114118.04667487374,82748.55634032546,139720.4122285788,153159.44507816053,91766.70674048549,106679.23814669678,,100080.5426392258,119476.57307153121,114689.19828939969,105452.33043157773
2001-02-01,130218.81646461604,211022.82348583732,113174.25128532457,182435.46858717836,120523.50107360864,179757.03359810737,192805.32245851247,139621.4268499939,164436.63306566057,130436.97295115702,145730.6363584985,172802.0421080152,101431.60432998739,110760.34440679716,171206.55001432073,89727.40475419424,129852.85483369483,103171.68872106592,139435.45148580987,,74857.39286491148,,110484.3917153335,88073.83170536933,156006.36333425858,204736.48648017598,99642.67057755093,114283.70037447743,152481.0417288132,98352.40224059297,,121475.20421730832,158258.64828670476,88762.90747849953,86250.07400144036,136585.4646680788,118792.30794097272,216695.34060975656,172358.10122515567,133055.9081869696,114449.03642305627,83159.15862096778,140769.30622026313,153581.4352187634,92056.59744902649,107008.45828310422,,100437.50021477124,119980.30806965585,115136.12304726835,106021.61230409674
2001-03-01,131041.88418894673,213196.0358750031,113857.48242737028,183877.30446243947,121015.48850364664,180523.45358124856,194631.3227601437,140228.8460374672,165342.417115587,130792.05564205465,147360.4833126396,172967.61254578683,101858.86938460772,110544.4528579573,172201.26702300998,90362.51561091332,130511.27468827488,103607.166667245,144177.2080732662,,75184.79881950926,,110787.14389120175,88345.36663117148,156553.5250938638,205313.04679018215,99981.56715792575,115395.06407379506,153221.7114868859,98351.05651446078,,122006.64459396282,159081.5107239311,88971.84843683029,86668.0348830058,137836.8287503154,119680.91324385755,219027.83950407561,173491.65936276378,133719.8656799963,112144.77037008475,83514.91101253561,141886.99665657672,154029.86138074042,92241.55683763581,107314.18807311152,,100832.62328905525,120483.91431870208,115598.8987335014,106569.8920570801
2001-04-01,131902.219052064,215898.13057108855,114664.54365610595,185400.8310661627,121446.57179972764,181273.0344965338,196409.02804854172,140846.36954233155,166288.0924527349,131054.5380017301,149041.6738730586,173139.64955521954,102317.3196701138,110417.96814841586,173350.45711129802,90910.62391443139,131118.20211207916,103998.96495818149,147766.2249372857,,75338.31480190666,,111027.70309003773,88514.23297070782,157289.98652551297,206001.59470520876,100225.91603377007,116270.62922609062,153927.9805429266,98307.01462218795,,122518.34849132854,159904.1959227301,89146.8604213893,87042.82402615102,139192.03015349168,120573.57777648805,221437.7431709092,175217.2441612175,134396.36392579318,108854.91897237317,83849.11267981218,143186.55193231732,154421.31078848313,92497.10163871496,107616.92729557013,,101340.94824360502,121039.39712880981,115915.84463175495,107048.043186199
2001-05-01,132853.83368459568,218605.81947132328,115548.51911675716,186904.50062171379,121969.53590315569,181921.0250480567,198183.20602538114,141473.184523051,167332.50194285487,131359.93841549082,150918.1663139975,173237.48195284835,102756.06605196813,110460.43628560938,174644.73875706177,91422.52279228158,131788.66697361233,104572.35982179426,150740.272767207,,75638.71329351708,,111305.32695310384,88823.54115594551,158151.99068724376,206996.83927246314,100467.84750226418,117317.29044963534,154660.40756027287,98501.50267061737,,123019.06819169073,160779.98143780595,89461.3776233893,87434.47035896713,140576.83981086567,121398.0440027999,223927.56468759594,177186.9697926687,135201.43297500184,105450.37859853877,84141.9854101251,144569.03334098306,154860.99105712722,92789.6749657803,107945.37807262906,,101944.27126717016,121613.26085762489,116273.59869336832,107484.88532640091
2001-06-01,133805.64968089378,221065.53083467492,116471.24698070281,188579.6204646375,122503.42688157088,182584.1912490373,199768.4747011133,142105.42727635565,168485.2788086284,131667.12291776578,152926.42764936318,173401.24029741136,103202.76807537378,110589.20912606076,175949.32282561716,91918.30831411394,132458.13621913615,104867.76025283166,153237.6500442299,,75943.28276309602,,111576.37086338758,89174.94110567747,159189.6240963131,208127.66954926352,100716.95402632181,118472.22823837881,155379.57609359853,98846.64326293314,,123391.5258382993,161629.26208338895,89795.18925220154,87851.61659013724,141962.93221081744,122175.95949145888,226541.87427152996,179087.22409073144,136049.8565459279,104593.41128299014,84432.55372563137,145994.9688094287,155319.46056413415,93162.8632913431,108268.72950969085,,102603.9549033225,122218.5863100678,116653.58671557061,107884.6386011421
2001-07-01,134830.49502957883,223368.37602062916,117463.20628632182,190383.46274186217,123056.91424217257,183211.4132448422,201331.85965769182,142706.9431242937,169695.52269628193,131960.34046247927,154936.31030917403,173537.38393887997,103683.37130881699,110740.4780717633,177213.9355460961,92404.34456685565,133125.84798697504,105150.23185973719,155580.1201435033,,76247.76860954483,,111836.14638072003,89580.07210314967,160304.86059255086,209369.10886437152,100998.78273595212,119773.92976112037,156064.22133569155,99265.85948235595,,123773.63791816955,162534.25224690782,90072.35722335242,88267.74695888608,143416.6168519236,122974.07427156616,229314.1930913365,180997.21128483536,136925.08172742664,104567.28271276453,84706.24713051396,147523.82065610777,155856.23041978103,93540.42806804816,108629.49354520057,,103277.94118683145,122863.34306299577,117118.98231406673,108268.51567405718
2001-08-01,135862.89460183473,225587.20177503457,118514.6165517848,192374.5843071843,123643.43383063846,183984.14337456925,202871.94874740837,143301.80898160112,170965.91422131562,132294.02837752833,156772.29790907854,173802.38550199117,104212.79108110227,110876.35228851078,178851.10917694066,92860.28770462294,133803.92145195315,105217.76848052104,157275.37690748906,,76529.98555175433,,112142.07463101285,89917.3662865075,161534.62549274397,210580.1333862495,101249.39211935231,120890.165221246,156789.3750878814,99634.10872656161,,124236.68983591917,163457.34537988712,90387.16670926638,88635.21534912253,144999.60828223237,123708.41883888577,232335.02065516612,183102.77187323477,137996.29908299647,104729.5472584404,85012.00465033605,149351.94858535487,156466.85507297222,93953.1176544467,109029.95116082078,,103896.18409667337,123542.37214855065,117499.27965786819,108700.97727176714
2001-09-01,136927.25479050653,227740.7800480636,119604.62726389173,194509.6613646223,124281.15203456605,184685.84567221894,204318.78450074708,143900.55149514732,172208.41259844604,132635.15155638286,158617.31192963742,174048.45941632043,104748.63982421393,111019.25445675822,180663.56304767192,93269.99707020633,134479.59197116536,105305.99652382666,158465.99705294112,,76769.70402034959,,112466.24221789626,90206.68731363122,162794.32208598612,211919.48669033218,101530.98006049423,121949.43831048033,157560.45760616535,99830.87176060844,,124736.05734518626,164410.04137338398,90676.81163385765,88951.31316380756,146689.19290129948,124449.80540909457,235269.6462708585,185341.07021432047,139225.85442665816,104956.1103069207,85333.32654265045,151361.02603021896,157039.47048618583,94365.16964497899,109438.39530149958,,104490.37285808333,124225.27173692967,117824.62340515254,109138.84453293525
2001-10-01,137946.28566029854,229754.42209187264,120697.62892778974,196737.36987402197,124926.79182144774,185469.4051900321,205583.08175751087,144547.4913483122,173516.18648653032,133010.63183142323,160388.5769922418,174306.96220613786,105241.03256847353,111168.72700116702,182706.6402247003,93673.320364447,135147.59741957564,105507.91375538277,159258.5780200014,,77027.33368034124,,112822.04131912254,90392.1268407932,163995.48880904657,213289.02718000402,101854.64403939311,122901.95490134042,158383.85360592345,100132.17519060629,,125205.71334352747,165377.65218446738,91125.10254804914,89229.3809900616,148434.6645334851,125246.93436204414,238398.0231987161,187585.62118564858,140640.400701054,105174.30702078372,85634.37842532378,153604.78938385533,157591.4187210103,94784.06107612001,109830.33593507408,,105111.0332090534,124888.59143296011,118128.46153034519,109568.15599128658
2001-11-01,139000.93781358525,231646.11235508355,121745.85952821276,198774.7967792348,125512.7685407792,186158.3798894376,206613.3507644479,145217.80133242332,174885.20128336677,133303.84322254654,162097.35402572065,174495.87764693625,105741.03107547293,111277.93724782082,184491.82003955016,94063.3034131535,135752.9859858501,105748.62328599207,160168.43443162364,,77182.79305669229,,113113.56809650548,90519.84289998247,165171.46513478944,214504.8607490772,102172.0044320892,124032.1782502884,159240.38889022332,100367.26888234151,,125504.22872517077,166281.9509212816,91461.24726114282,89494.95538999078,150095.84403846893,126194.51620104858,241471.4015275545,189728.15299025914,141719.72777318963,105389.16020890161,85882.59865760406,155611.14484548592,158082.99187866537,95188.97642464405,110184.5213586047,,105772.33393951389,125519.45860967135,118446.77655640051,109979.2701477877
2001-12-01,140001.93102550737,233415.0871641206,122773.91151293488,200610.9207741977,126055.07482180941,187000.47626748352,207422.5702119478,145844.55504313446,176338.82371142614,133560.86024091113,163791.03355376757,174581.128464013,106213.98908743996,111366.1663835101,185971.3086708129,94463.3541787704,136317.25545457142,105908.64320840413,161194.18156068109,,77290.3153651564,,113335.31969060753,90595.0708436067,166366.00816453274,215588.53033668222,102407.74555165066,125130.32842384437,160115.3236206819,100687.70178701245,,125768.07828691196,167218.2313543789,91726.23706716708,89734.64081001708,151517.4400492624,127183.91535436199,244364.57282183543,191901.1463507867,142518.3898786482,105623.56147943664,86103.69265384752,157568.08960528593,158602.6432955852,95603.83076228896,110504.8410839933,,106443.567833789,126125.18051151223,118765.30986235068,110344.14582141432
